ground_id,ground_name,city
11,Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
12,M Chinnaswamy Stadium,Bengaluru
13,Rajiv Gandhi International Stadium,Hyderabad
14,Vidarbha Cricket Association Stadium,Nagpur
16,Punjab Cricket Association IS Bindra Stadium,Mohali
17,Arun Jaitley Stadium,Delhi
18,MA Chidambaram Stadium,Chennai
19,Eden Gardens,Kolkata
20,Sawai Mansingh Stadium,Jaipur
21,Wankhede Stadium,Mumbai
38,Himachal Pradesh Cricket Association Stadium,Dharamshala
39,Maharashtra Cricket Association Stadium,Pune
40,Saurashtra Cricket Association Stadium,Rajkot
41,Holkar Cricket Stadium,Indore
43,Barabati Stadium,Cuttack
44,ACA Stadium,Guwahati
49,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
51,Dubai International Cricket Stadium,Dubai
55,Narendra Modi Stadium,Ahmedabad
59,Green Park,Kanpur
60,SuperSport Park,Centurion
62,Newlands,Cape Town
68,Brabourne - CCI,Mumbai
69,DY Patil Stadium,NAVI MUMBAI
70,M. Chinnaswamy Stadium,Bengaluru
71,IS Bindra Stadium,Mohali
72,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad
73,M. A. Chidambaram Stadium,Chennai
74,Kingsmead,Durban
75,Buffalo Park,East London
76,New Wanderers Stadium,Johannesburg
77,De Beers Diamond Oval,Kimberley
78,OUTsurance Oval,Bloemfontein
79,Brabourne Stadium,Mumbai
80,HPCA Stadium,Dharamsala
81,Jawaharlal Nehru Stadium,Kochi
82,ACA-VDCA Stadium,Visakhapatnam
83,Shaheed Veer Narayan Singh International Cricket Stadium,Naya Raipur
84,JSCA International Cricket Stadium,Ranchi
85,Sheikh Zayed Cricket Stadium,Abu Dhabi
86,Sharjah Cricket Stadium,Sharjah
87,Zayed Cricket Stadium,Abu Dhabi
88,Dubai International Stadium,Dubai
131,New PCA Stadium,Mullanpur
131,New PCA Stadium,Chandigarh
